"model_name","algorithm","learning_rate","final_f1","final_accuracy","final_vloss","lr_bucket"
"SentimentIQ","mBERT","0.000020","0.7758","0.7624","0.2388","very_low"
"DocParser","DistilBERT","0.000020","0.9062","0.9254","1.1864","very_low"
"DocParser","RoBERTa","0.000020","0.9043","0.8858","0.8300","very_low"
"SentimentIQ","RoBERTa","0.000020","0.8633","0.8781","0.3726","very_low"
"RetentionRL","PPO","0.000250","0.5563","0.5344","0.7005","very_low"
"RetentionRL","PPO","0.000380","0.4958","0.4867","0.8228","very_low"
"RetentionRL","PPO","0.000400","0.5490","0.5363","0.3373","very_low"
"ImageSortNet","ResNet-50","0.001230","0.8251","0.8060","0.0100","low"
"SpeechTag","T5","0.007100","0.8639","0.8802","0.5902","low"
"RecoEngine","Diffusion","0.007760","0.7802","0.7399","0.5341","low"
"HealthPredict","Neural Network","0.008190","0.7957","0.7904","1.0199","low"
"SpeechTag","T5","0.008660","0.8668","0.8715","1.1232","low"
"RecoEngine","Diffusion","0.008690","0.5525","0.5935","0.1535","low"
"RetentionRL","A3C","0.008780","0.5916","0.6253","0.1698","low"
"TopicMiner","Gaussian Mixture","0.009070","0.5877","0.5705","0.3059","low"
"FraudShield","CatBoost","0.009420","0.8416","0.8508","0.4122","low"
"TopicMiner","Gaussian Mixture","0.009900","0.8362","0.7918","0.6508","low"
"FraudShield","CatBoost","0.010200","0.7955","0.8146","0.7448","medium"
"ClusterX","DBSCAN","0.010480","0.7206","0.7216","1.2161","medium"
"HealthPredict","Neural Network","0.010550","0.7328","0.7577","0.0100","medium"
"SupplyOpt","Lasso","0.010770","0.8309","0.8352","0.9033","medium"
"RecoEngine","Diffusion","0.010810","0.6291","0.6434","0.8366","medium"
"ObjectFind","EfficientDet","0.010930","0.7649","0.7708","0.6405","medium"
"AnomalyWatch","Neural Network","0.011110","0.8688","0.8517","0.5844","medium"
"ImageSortNet","EfficientNet-B4","0.011490","0.7920","0.8132","1.0739","medium"
"ImageSortNet","EfficientNet-B4","0.011710","0.8369","0.8531","0.3952","medium"
"SupplyOpt","Lasso","0.011860","0.8459","0.8138","0.0100","medium"
"ImageSortNet","EfficientNet-B4","0.012130","0.8919","0.8455","0.9188","medium"
"RecoEngine","Diffusion","0.012870","0.6018","0.5720","0.4122","medium"
"ImageSortNet","DenseNet-121","0.013090","0.7151","0.7274","0.5716","medium"
"HealthPredict","Neural Network","0.013160","0.8122","0.8180","1.0952","medium"
"ClusterX","OPTICS","0.013310","0.6559","0.6270","0.3538","medium"
"HealthPredict","Neural Network","0.013650","0.7818","0.7851","1.1686","medium"
"LeadScore","SVM","0.013660","0.8652","0.8483","0.2424","medium"
"SupplyOpt","Lasso","0.013770","0.7053","0.7208","0.5464","medium"
"DemandForecast","LightGBM Regressor","0.026110","0.8269","0.8194","0.6553","medium"
"ChurnGuard","LightGBM","0.038900","0.9309","0.9107","0.8834","medium"
"DemandForecast","XGBoost Regressor","0.051860","0.7041","0.7523","0.2423","high"
